instrument,horizon,feature_set,model,decile,n,mean_prediction,realized_mean,realized_median,positive_rate
AG,16,F1_DIRECTION,gbr_quantile,2,225,-0.006150171381871024,-0.001992893143033826,-0.0048314203742958,0.4177777777777778
AG,16,F1_DIRECTION,gbr_quantile,3,225,-0.0045193383506002445,0.003994241671994216,0.003823340188089,0.56
AG,16,F1_DIRECTION,gbr_quantile,4,225,-0.0030432021952293514,-0.0007786887003441812,-0.0011875241519893,0.47555555555555556
AG,16,F1_DIRECTION,gbr_quantile,5,225,-0.002067421158219936,0.0012496456869184461,0.0022324206220453,0.56
AG,16,F1_DIRECTION,gbr_quantile,6,225,-0.0012588103029593355,0.0021029190214250475,0.0,0.49777777777777776
AG,16,F1_DIRECTION,gbr_quantile,7,225,-0.0007012882532661312,0.00030303416757309856,0.0008170491364859,0.5155555555555555
AG,16,F1_DIRECTION,gbr_quantile,8,225,-0.00014037924180437298,0.00204453979744132,0.0024681213680836,0.5688888888888889
AG,16,F1_DIRECTION,gbr_quantile,9,225,0.0006034678179348167,-0.001035935742638741,-0.0009200237226468,0.4666666666666667
AG,16,F1_DIRECTION,gbr_quantile,10,225,0.002390486758192153,0.0022597048061211208,0.0015508206947992,0.5555555555555556
AG,16,F2_ACTIVITY,linear_qr,1,225,-0.00791210090648416,-0.003133414835345142,-0.0039810188850761,0.39555555555555555
AG,16,F2_ACTIVITY,linear_qr,2,225,-0.00578099226034638,-0.001707215997469843,-0.003351724386301,0.4622222222222222
AG,16,F2_ACTIVITY,linear_qr,3,225,-0.004243027047968459,-0.001685938214905732,-0.0022838728272236,0.4488888888888889
AG,16,F2_ACTIVITY,linear_qr,4,225,-0.0030533315461274964,0.0020014137397626045,0.0004417936895361,0.52
AG,16,F2_ACTIVITY,linear_qr,5,225,-0.0018784505514603078,0.003758037538664582,0.0019683284515445,0.5555555555555556
AG,16,F2_ACTIVITY,linear_qr,6,225,-0.0008847037935216921,0.001205829717319471,0.000331202599656,0.5155555555555555
AG,16,F2_ACTIVITY,linear_qr,7,225,-0.00025100412345487933,0.0016704994444972888,0.002478316014467,0.5377777777777778
AG,16,F2_ACTIVITY,linear_qr,8,225,0.00031004925232527354,-0.0006435967241971468,-0.0011855365941016,0.48
AG,16,F2_ACTIVITY,linear_qr,9,225,0.0009266041116707848,-0.0010135857522232915,-7.043989718690309e-05,0.4888888888888889
AG,16,F2_ACTIVITY,linear_qr,10,225,0.002191053701591303,0.0027188434163172358,0.0030780182937638,0.6088888888888889
AG,16,F2_ACTIVITY,gbr_quantile,1,225,-0.009677785987297235,-0.002903448836605386,-0.0024295133745514,0.4311111111111111
AG,16,F2_ACTIVITY,gbr_quantile,2,225,-0.006230041801834641,-0.0010735996831583428,-0.0043432550507515,0.43555555555555553
AG,16,F2_ACTIVITY,gbr_quantile,3,225,-0.004732417701865479,0.002180509820329595,0.0029555701131473,0.5511111111111111
AG,16,F2_ACTIVITY,gbr_quantile,4,225,-0.003459919605648612,0.002056985724906887,0.0023902389037572,0.5777777777777777
AG,16,F2_ACTIVITY,gbr_quantile,5,225,-0.002165633727574985,-0.0004159482995047883,-0.0009023913982786,0.4666666666666667
AG,16,F2_ACTIVITY,gbr_quantile,6,225,-0.0013554715651781448,0.0010547930396020246,0.0005696022431779,0.52
AG,16,F2_ACTIVITY,gbr_quantile,7,225,-0.0008198725863070666,0.0008097912226217568,0.0006165017149059,0.52
AG,16,F2_ACTIVITY,gbr_quantile,8,225,-0.0002473198822427798,0.0008012992760171292,0.0009054501750416,0.52
AG,16,F2_ACTIVITY,gbr_quantile,9,225,0.00047768506190085314,-0.0026536628424717046,-0.0017248049001972,0.4533333333333333
AG,16,F2_ACTIVITY,gbr_quantile,10,225,0.0023143713804786256,0.0033141529106828563,0.0017130878159386,0.5377777777777778
AG,16,F3_VOL,linear_qr,1,225,-0.008620045646680289,-0.0032416817412748845,-0.004489803460599,0.39555555555555555
AG,16,F3_VOL,linear_qr,2,225,-0.006014712858482971,-0.000258314399847015,-0.0010163513863255,0.49333333333333335
AG,16,F3_VOL,linear_qr,3,225,-0.004365892286114906,-0.00033659601109974936,-0.001204738784358,0.4711111111111111
AG,16,F3_VOL,linear_qr,4,225,-0.003066975655973558,-0.00015611349406315748,-0.0002103565551353,0.4888888888888889
AG,16,F3_VOL,linear_qr,5,225,-0.0019059348376930664,0.0035559160853954304,0.001703689554346,0.5333333333333333
