n_events,mean_signed_return,median_signed_return,win_rate,mean_mfe,mean_mae,instrument,horizon,strategy,opportunity,fold
164,-8.411804734709735e-05,-0.00010836139974024217,0.42073170731707316,0.0010302921452795023,-0.0010462194659406506,CU,H5,FOLLOW,TOP30,0
273,2.4929939549791397e-05,0.00010602205258691821,0.5054945054945055,0.0008834763519021306,-0.0009056611024308253,CU,H5,FADE,ALL,0
164,8.411804734709735e-05,0.00010836139974024217,0.524390243902439,0.0010462194659406506,-0.0010302921452795023,CU,H5,FADE,TOP30,0
273,0.00012619363384457768,0.0,0.4835164835164835,0.0016921771717065372,-0.001491902457769559,CU,H5,FOLLOW,ALL,1
248,0.00015437990593275688,0.0,0.4838709677419355,0.0017774228801282067,-0.0015305395968202543,CU,H5,FOLLOW,TOP30,1
273,-0.00012619363384457768,0.0,0.48717948717948717,0.001491902457769559,-0.0016921771717065372,CU,H5,FADE,ALL,1
248,-0.00015437990593275688,0.0,0.4838709677419355,0.0015305395968202543,-0.0017774228801282067,CU,H5,FADE,TOP30,1
273,-0.00012222203356930552,-0.00019862945674842258,0.4175824175824176,0.0010498635601139028,-0.0011992373203215455,CU,H5,FOLLOW,ALL,2
146,-0.00017098959332172243,-0.0003018357658255977,0.4452054794520548,0.0013015742070288082,-0.0015079123900716904,CU,H5,FOLLOW,TOP30,2
273,0.00012222203356930552,0.00019862945674842258,0.5714285714285714,0.0011992373203215455,-0.0010498635601139028,CU,H5,FADE,ALL,2
146,0.00017098959332172243,0.0003018357658255977,0.5547945205479452,0.0015079123900716904,-0.0013015742070288082,CU,H5,FADE,TOP30,2
273,1.874074283668146e-05,-0.00010058338362506358,0.4139194139194139,0.0008793610968182026,-0.0007679542642945678,CU,H5,FOLLOW,ALL,3
119,0.0001379566610849368,0.0,0.4789915966386555,0.0011206022234597265,-0.0009301946598326885,CU,H5,FOLLOW,TOP30,3
273,-1.874074283668146e-05,0.00010058338362506358,0.5311355311355311,0.0007679542642945678,-0.0008793610968182026,CU,H5,FADE,ALL,3
119,-0.0001379566610849368,0.0,0.47058823529411764,0.0009301946598326885,-0.0011206022234597265,CU,H5,FADE,TOP30,3
273,-8.957680352634257e-05,-9.45179584120881e-05,0.4065934065934066,0.0006512839211198762,-0.0006784270038026433,CU,H5,FOLLOW,ALL,4
98,-0.00013183315529191836,-0.00019044044792670967,0.37755102040816324,0.0007804479394092073,-0.0008419876810332172,CU,H5,FOLLOW,TOP30,4
273,8.957680352634257e-05,9.45179584120881e-05,0.5238095238095238,0.0006784270038026433,-0.0006512839211198762,CU,H5,FADE,ALL,4
98,0.00013183315529191836,0.00019044044792670967,0.5612244897959183,0.0008419876810332172,-0.0007804479394092073,CU,H5,FADE,TOP30,4
273,-5.4770614391070455e-05,-9.427736400491327e-05,0.4065934065934066,0.000517760291661271,-0.0005035145888730395,CU,H5,FOLLOW,ALL,5
63,-6.105671414908139e-05,0.0,0.4603174603174603,0.0006725296340486524,-0.0006259312144761654,CU,H5,FOLLOW,TOP30,5
273,5.4770614391070455e-05,9.427736400491327e-05,0.5018315018315018,0.0005035145888730395,-0.000517760291661271,CU,H5,FADE,ALL,5
63,6.105671414908139e-05,0.0,0.49206349206349204,0.0006259312144761654,-0.0006725296340486524,CU,H5,FADE,TOP30,5
269,-3.154282976544394e-05,-9.264406151565652e-05,0.4052044609665427,0.00045277319274943524,-0.00045635371177747816,CU,H5,FOLLOW,ALL,6
27,-0.00035101730242016586,-0.0002774951438349049,0.18518518518518517,0.000292373774682489,-0.000681969513178128,CU,H5,FOLLOW,TOP30,6
269,3.154282976544394e-05,9.264406151565652e-05,0.5241635687732342,0.00045635371177747816,-0.00045277319274943524,CU,H5,FADE,ALL,6
27,0.00035101730242016586,0.0002774951438349049,0.7037037037037037,0.000681969513178128,-0.000292373774682489,CU,H5,FADE,TOP30,6
273,-4.054389834397219e-05,-0.00010836584308626662,0.4468864468864469,0.0015340634693081603,-0.001480286728753578,CU,H15,FOLLOW,ALL,0
165,-0.00014152207809971524,-0.00010804970286326654,0.45454545454545453,0.0017202948168929997,-0.0017597693357869636,CU,H15,FOLLOW,TOP30,0
273,4.054389834397219e-05,0.00010836584308626662,0.5128205128205128,0.001480286728753578,-0.0015340634693081603,CU,H15,FADE,ALL,0
165,0.00014152207809971524,0.00010804970286326654,0.509090909090909,0.0017597693357869636,-0.0017202948168929997,CU,H15,FADE,TOP30,0
273,0.0007019587444850213,0.0,0.4981684981684982,0.003115423314992042,-0.002358709663936938,CU,H15,FOLLOW,ALL,1
248,0.0007693087443987786,4.8529554498688565e-05,0.5,0.003284240425376455,-0.0024505619978659817,CU,H15,FOLLOW,TOP30,1
273,-0.0007019587444850213,0.0,0.4835164835164835,0.002358709663936938,-0.003115423314992042,CU,H15,FADE,ALL,1
