instrument,horizon,features,stratum,learner,n,up_rate,auc,brier_skill,logloss_skill,calibration_slope,return_spread,mfe_up_top20,folds_evaluated
CU,H5,P3,ALL,logistic,13545,0.48497600590623846,0.5179599306444923,-0.001041051846326635,-0.0007950838830774742,0.12680150895841835,5.204076547880434e-05,0.0007538738895124873,7
CU,H5,P3,ALL,gbr,13545,0.48497600590623846,0.5299090826246715,0.0015188700404206168,0.0010861064860061553,0.1744256355788925,8.091313832464815e-05,0.0009653131942810671,7
CU,H5,P3,TOP50,logistic,10296,0.49009324009324007,0.5130136458864164,-0.002148221681235407,-0.0016101837460351653,0.0703572328020069,7.442035372019365e-05,0.000835585339329746,7
CU,H5,P3,TOP50,gbr,10296,0.49009324009324007,0.5179709340731933,-0.0014492988325003342,-0.0010826071253697833,0.102806655495599,0.00013747318160675954,0.0010621906413270685,7
CU,H5,P3,TOP30,logistic,6419,0.49182115594329334,0.5074646533051522,-0.005520530937538126,-0.004144693524031462,0.02277889133242478,3.4208783077539216e-05,0.0009946759926413502,7
CU,H5,P3,TOP30,gbr,6419,0.49182115594329334,0.5119493978229455,-0.006778479600288767,-0.005016181235990125,0.04208064122559653,7.346569017963357e-05,0.0011147241335698276,7
CU,H5,P3,TOP20,logistic,4579,0.5040401834461673,0.5009314184499457,-0.008392699347727683,-0.0062787693199883865,-0.0030319921643515045,1.9424761401294087e-05,0.001166259836640412,7
CU,H5,P3,TOP20,gbr,4579,0.5040401834461673,0.5022683530644468,-0.014919385988007905,-0.011078714778738563,0.0014344880081625126,4.071935397148005e-05,0.001290249046808738,7
CU,H15,P0,ALL,logistic,16716,0.486958602536492,0.5111257431744838,-1.762744712396902e-05,-1.1495853260434785e-05,0.18798848121933637,-9.977542120477622e-06,0.0014131683734216955,7
CU,H15,P0,ALL,gbr,16716,0.486958602536492,0.5121646546903077,-0.0007363319319533268,-0.0005388764401172974,0.09894386219771019,7.500570196356665e-05,0.0014475407310849985,7
CU,H15,P0,TOP50,logistic,12741,0.4901499097402088,0.5075635631658035,-0.0006806328331043776,-0.0004906447789538859,0.06208368163969356,-5.775513935533625e-05,0.001671011765966654,7
CU,H15,P0,TOP50,gbr,12741,0.4901499097402088,0.5067670638974234,-0.0021266311021557183,-0.001565835334907284,0.06234193958195711,4.579561724797272e-05,0.0016202583466193219,7
CU,H15,P0,TOP30,logistic,7903,0.48399342022016956,0.5040890542909987,-0.00027916761207347207,-0.00019894171275480765,0.0645942927885179,-0.00016826943917448858,0.00212372372176206,7
CU,H15,P0,TOP30,gbr,7903,0.48399342022016956,0.5095815903605189,-0.002392627475384046,-0.0017781124261850856,0.05851629411836494,-0.0001286199085951391,0.0019321241268893468,7
CU,H15,P0,TOP20,logistic,5625,0.48533333333333334,0.5032202800078448,-0.0010308560344509665,-0.0007443372824686989,0.017063249710632476,-4.021624851795656e-05,0.0024793596102938016,7
CU,H15,P0,TOP20,gbr,5625,0.48533333333333334,0.5015084742545882,-0.0071181720818700445,-0.005261587547987112,0.009309768209211528,-0.000237913947712153,0.002378125919793827,7
