horizon,feature_set,model,fold,train_rows,test_rows,purge_rows,train_end_time,test_start_time,test_end_time,oos_r2_vs_hist_mean,mae,rmse,pearson_ic,spearman_ic,sign_accuracy_raw
8,stats_15m_1h_4h,ridge,4,6500,750,8,2026-04-21 00:30:00,2026-04-21 09:15:00,2026-05-23 01:15:00,0.03498277260912208,1.0118121554461992,1.4497173743367102,0.14250355822540228,0.08057263035134284,0.5186666666666667
8,stats_15m_1h_4h,ridge,5,7250,750,8,2026-05-22 23:15:00,2026-05-23 01:30:00,2026-06-24 00:00:00,0.01850825309201054,0.9038470646613304,1.3011409711683302,0.031005935537419996,0.030739297532897284,0.54
8,stats_15m_1h_4h,ridge,6,8000,750,8,2026-06-23 22:00:00,2026-06-24 00:15:00,2026-07-22 09:00:00,-0.07574528793627944,0.9507405949397036,1.3052439734649077,-0.03822229975454385,-0.03404693794078036,0.4826666666666667
8,stats_15m_1h_4h,ridge,7,8750,750,8,2026-07-22 00:30:00,2026-07-22 09:15:00,2026-08-19 13:45:00,-0.021004657470732546,1.0617169747203825,1.537598938811553,-0.006493571780451174,-0.05073230707965702,0.5013333333333333
8,stats_15m_1h_4h,ridge,8,9500,463,8,2026-08-19 09:30:00,2026-08-19 14:00:00,2026-09-05 00:30:00,-0.09849968587897395,0.8861607136075599,1.2276271935995628,-0.07548961411217904,-0.10307020937653244,0.5053995680345572
8,stats_15m_1h_4h,elastic,0,3500,750,8,2025-12-12 01:30:00,2025-12-12 10:30:00,2026-01-14 02:15:00,-0.3697366850297219,1.274377800794576,1.7204675329086387,0.06338159975848376,0.09918312388110911,0.5026666666666667
8,stats_15m_1h_4h,elastic,1,4250,750,8,2026-01-14 00:15:00,2026-01-14 09:00:00,2026-02-11 13:45:00,-0.31525390471352277,1.5844634130368815,2.97414431103821,-0.10588954318844854,-0.047969215618273525,0.548
8,stats_15m_1h_4h,elastic,2,5000,750,8,2026-02-11 09:30:00,2026-02-11 14:00:00,2026-03-20 10:30:00,-0.033849084367177706,1.0515822665805943,1.6152957075209347,0.01912652856210314,0.021256443122565548,0.516
8,stats_15m_1h_4h,elastic,3,5750,750,8,2026-03-20 01:45:00,2026-03-20 10:45:00,2026-04-21 09:00:00,-0.03218929078081345,0.9891469439145355,1.4360566185997832,0.05441186581519228,0.02829036851621069,0.5213333333333333
8,stats_15m_1h_4h,elastic,4,6500,750,8,2026-04-21 00:30:00,2026-04-21 09:15:00,2026-05-23 01:15:00,0.035319409288922854,1.0116725202515975,1.4494644925237994,0.14342265309041063,0.0810910881619345,0.5186666666666667
8,stats_15m_1h_4h,elastic,5,7250,750,8,2026-05-22 23:15:00,2026-05-23 01:30:00,2026-06-24 00:00:00,0.018649830450621407,0.903572871005607,1.3010471248645004,0.03130969444609316,0.03163676402366414,0.5453333333333333
8,stats_15m_1h_4h,elastic,6,8000,750,8,2026-06-23 22:00:00,2026-06-24 00:15:00,2026-07-22 09:00:00,-0.07577928415944024,0.9506579301660022,1.305264597777804,-0.03869582857187818,-0.0345710846652836,0.484
8,stats_15m_1h_4h,elastic,7,8750,750,8,2026-07-22 00:30:00,2026-07-22 09:15:00,2026-08-19 13:45:00,-0.020898937370447568,1.06158030684694,1.5375193312794095,-0.006426644971288706,-0.05058456637256244,0.5013333333333333
8,stats_15m_1h_4h,elastic,8,9500,463,8,2026-08-19 09:30:00,2026-08-19 14:00:00,2026-09-05 00:30:00,-0.0980228257706981,0.8858430179596203,1.227360707414268,-0.07522038285508303,-0.10345081484390338,0.5053995680345572
8,stats_15m_1h_4h,rf,0,3500,750,8,2025-12-12 01:30:00,2025-12-12 10:30:00,2026-01-14 02:15:00,-0.049350927394486765,1.0824161168056303,1.505872883845373,0.1391509299555238,0.06288847196195638,0.49333333333333335
8,stats_15m_1h_4h,rf,1,4250,750,8,2026-01-14 00:15:00,2026-01-14 09:00:00,2026-02-11 13:45:00,-0.00870067783252959,1.1605254946448404,2.6045841532771363,0.0008945804576797109,0.08032928866533055,0.5586666666666666
8,stats_15m_1h_4h,rf,2,5000,750,8,2026-02-11 09:30:00,2026-02-11 14:00:00,2026-03-20 10:30:00,-0.002101202409537928,0.9931139591745209,1.5903007247736158,0.02394018069504996,-0.05319946335997408,0.49866666666666665
8,stats_15m_1h_4h,rf,3,5750,750,8,2026-03-20 01:45:00,2026-03-20 10:45:00,2026-04-21 09:00:00,-0.028093348384899075,0.9507443714732257,1.4332045002422047,-0.04246418173485488,-0.048328844481452755,0.488
8,stats_15m_1h_4h,rf,4,6500,750,8,2026-04-21 00:30:00,2026-04-21 09:15:00,2026-05-23 01:15:00,-0.058490851377091424,1.027202380391112,1.518306198235373,-0.16604978857604713,-0.12526645223392066,0.496
8,stats_15m_1h_4h,rf,5,7250,750,8,2026-05-22 23:15:00,2026-05-23 01:30:00,2026-06-24 00:00:00,-0.09592176849315304,0.9376260879990592,1.374899022279114,0.0010923938366276113,0.01450108528983917,0.5253333333333333
8,stats_15m_1h_4h,rf,6,8000,750,8,2026-06-23 22:00:00,2026-06-24 00:15:00,2026-07-22 09:00:00,-0.005753754171936798,0.8916433683421858,1.262068134783162,0.038918530130655854,-0.004777340818743769,0.49066666666666664
8,stats_15m_1h_4h,rf,7,8750,750,8,2026-07-22 00:30:00,2026-07-22 09:15:00,2026-08-19 13:45:00,-0.0031230514006255206,1.034513746843565,1.5240749122156467,0.0500671983400235,-0.010443301689482633,0.48
8,stats_15m_1h_4h,rf,8,9500,463,8,2026-08-19 09:30:00,2026-08-19 14:00:00,2026-09-05 00:30:00,-0.05270247240974846,0.8623044418156657,1.2017644506226501,-0.042449652367043525,-0.13865421999743605,0.43628509719222464
8,stats_15m_1h_4h,hgb,0,3500,750,8,2025-12-12 01:30:00,2025-12-12 10:30:00,2026-01-14 02:15:00,-0.14239883882931936,1.1957432531982581,1.571219332926533,0.17463044083484602,0.08693459659527412,0.472
8,stats_15m_1h_4h,hgb,1,4250,750,8,2026-01-14 00:15:00,2026-01-14 09:00:00,2026-02-11 13:45:00,-0.08585334695187918,1.2955772112300572,2.70235764069031,-0.05973475768663202,0.040539999707057,0.47333333333333333
8,stats_15m_1h_4h,hgb,2,5000,750,8,2026-02-11 09:30:00,2026-02-11 14:00:00,2026-03-20 10:30:00,-0.20507862381544517,1.152142804791529,1.7439384646570069,-0.08776372087842005,-0.10171320988654191,0.47333333333333333
8,stats_15m_1h_4h,hgb,3,5750,750,8,2026-03-20 01:45:00,2026-03-20 10:45:00,2026-04-21 09:00:00,-0.15637999647152934,1.0394250950292716,1.5199950503836595,-0.06475990648657394,-0.04996021323714802,0.5253333333333333
8,stats_15m_1h_4h,hgb,4,6500,750,8,2026-04-21 00:30:00,2026-04-21 09:15:00,2026-05-23 01:15:00,-0.23283865898542233,1.1291728583466614,1.6385848411489325,-0.2310921807506823,-0.1860391187027949,0.468
8,stats_15m_1h_4h,hgb,5,7250,750,8,2026-05-22 23:15:00,2026-05-23 01:30:00,2026-06-24 00:00:00,-0.08943038197438602,0.9634596860438266,1.3708210594585815,0.012453433387502919,0.0481732002314165,0.524
8,stats_15m_1h_4h,hgb,6,8000,750,8,2026-06-23 22:00:00,2026-06-24 00:15:00,2026-07-22 09:00:00,-0.10444420072505745,0.9432976858990717,1.3225401338472,-0.007996712555758036,0.00423429260314053,0.49466666666666664
8,stats_15m_1h_4h,hgb,7,8750,750,8,2026-07-22 00:30:00,2026-07-22 09:15:00,2026-08-19 13:45:00,-0.07286826723446271,1.0860752137830143,1.5761676480552775,-0.03058653036489251,-0.04895986928497159,0.48
8,stats_15m_1h_4h,hgb,8,9500,463,8,2026-08-19 09:30:00,2026-08-19 14:00:00,2026-09-05 00:30:00,-0.16384393230215188,0.9201625268625279,1.2636124752555666,-0.03740479741331932,-0.11133168706393909,0.468682505399568
16,stats_15m,ridge,0,3500,750,16,2025-12-12 01:30:00,2025-12-12 14:30:00,2026-01-14 11:00:00,-0.07035163034523473,1.1686328599432596,1.5865618860485236,0.09359727726326196,0.12352214047329604,0.532
16,stats_15m,ridge,1,4250,750,16,2026-01-14 00:15:00,2026-01-14 11:15:00,2026-02-11 21:45:00,-0.09537937036875532,1.3111728185360878,2.492072940673491,-0.09034914039518158,0.09700004751655553,0.5493333333333333
16,stats_15m,ridge,2,5000,750,16,2026-02-11 09:30:00,2026-02-11 22:00:00,2026-03-20 14:30:00,0.024287479190894357,1.1316003779841213,1.6570481945637288,0.01317660067021394,0.0001593033943171454,0.456
16,stats_15m,ridge,3,5750,750,16,2026-03-20 01:45:00,2026-03-20 14:45:00,2026-04-21 11:15:00,-0.11916179301300311,1.1045126342792355,1.566905528991357,-0.2439823119105053,-0.279494512879134,0.42933333333333334
16,stats_15m,ridge,4,6500,750,16,2026-04-21 00:30:00,2026-04-21 13:30:00,2026-05-25 09:45:00,0.007134766750267474,1.1390040869768991,1.5839291244070222,0.05167341672029998,0.015945855903743828,0.48933333333333334
16,stats_15m,ridge,5,7250,750,16,2026-05-22 23:15:00,2026-05-25 10:00:00,2026-06-24 02:00:00,0.06629298465971056,1.0016214709240536,1.3508539813967715,0.12612287728015326,0.06267956387478021,0.524
16,stats_15m,ridge,6,8000,750,16,2026-06-23 22:00:00,2026-06-24 02:15:00,2026-07-22 11:15:00,-0.03872159961944033,0.9731176968816644,1.3013062629461474,-0.013868472061642066,0.029080898128394168,0.5213333333333333
16,stats_15m,ridge,7,8750,750,16,2026-07-22 00:30:00,2026-07-22 13:30:00,2026-08-19 21:45:00,-0.0045892322926699425,1.164439113228293,1.5993367135316647,0.04931160113743502,0.05333247525773378,0.5026666666666667
16,stats_15m,ridge,8,9500,447,16,2026-08-19 09:30:00,2026-08-19 22:00:00,2026-09-04 22:30:00,-0.057822011234631265,0.8361458095083671,1.1236761131127098,0.01765297354577424,0.014640229116596225,0.4966442953020134
16,stats_15m,elastic,0,3500,750,16,2025-12-12 01:30:00,2025-12-12 14:30:00,2026-01-14 11:00:00,-0.07237195698881682,1.1695209435909941,1.5880585260410096,0.09270950166413261,0.12364604469445133,0.532
16,stats_15m,elastic,1,4250,750,16,2026-01-14 00:15:00,2026-01-14 11:15:00,2026-02-11 21:45:00,-0.09821841450019919,1.313342781945474,2.4953003734704153,-0.09194602838371818,0.09646290145883678,0.5506666666666666
16,stats_15m,elastic,2,5000,750,16,2026-02-11 09:30:00,2026-02-11 22:00:00,2026-03-20 14:30:00,0.024178997847816408,1.131633311200872,1.6571403086924625,0.012975740826931892,0.0001846474393732255,0.4573333333333333
16,stats_15m,elastic,3,5750,750,16,2026-03-20 01:45:00,2026-03-20 14:45:00,2026-04-21 11:15:00,-0.11903414767337961,1.1044056880749682,1.5668161701993868,-0.24394798140387278,-0.279528902273604,0.42933333333333334
16,stats_15m,elastic,4,6500,750,16,2026-04-21 00:30:00,2026-04-21 13:30:00,2026-05-25 09:45:00,0.007174088996134587,1.13896695571491,1.5838977584849032,0.05177890398952356,0.015822890351805067,0.49066666666666664
16,stats_15m,elastic,5,7250,750,16,2026-05-22 23:15:00,2026-05-25 10:00:00,2026-06-24 02:00:00,0.06627588656067462,1.0016082045766375,1.3508663497998359,0.1261294568284839,0.06261539309403215,0.524
16,stats_15m,elastic,6,8000,750,16,2026-06-23 22:00:00,2026-06-24 02:15:00,2026-07-22 11:15:00,-0.038639999805805125,0.9730828722299243,1.30125514798228,-0.01380806670713875,0.029084908802219443,0.5213333333333333
16,stats_15m,elastic,7,8750,750,16,2026-07-22 00:30:00,2026-07-22 13:30:00,2026-08-19 21:45:00,-0.004605616747506369,1.164463986579815,1.5993497557545278,0.04919638568281639,0.053225666178962086,0.5026666666666667
16,stats_15m,elastic,8,9500,447,16,2026-08-19 09:30:00,2026-08-19 22:00:00,2026-09-04 22:30:00,-0.057749718879924306,0.8360881657192357,1.1236377160198083,0.017520086498778873,0.014610133110336255,0.4966442953020134
