wf,model,symbol,n,auc,accuracy,balanced_accuracy
WF2,M_CORE,MA,1218,0.6098,0.6051,0.5526
WF2,M_CORE,NI,811,0.6656,0.5968,0.5859
WF2,M_CORE,P,971,0.6662,0.6704,0.5869
WF2,M_CORE,RB,1728,0.6234,0.599,0.5551
WF2,M_CORE,RU,1075,0.6367,0.6233,0.5674
WF2,M_CORE,SC,967,0.6258,0.6205,0.5602
WF2,M_CORE,SN,604,0.6505,0.6838,0.6072
WF2,M_CORE,TA,1030,0.6108,0.6078,0.5632
WF2,M_TYPE20,AG,651,0.5168,0.6421,0.5346
WF2,M_TYPE20,AL,893,0.5914,0.6159,0.5617
WF2,M_TYPE20,AU,688,0.6268,0.6294,0.5628
WF2,M_TYPE20,CF,1294,0.5906,0.5742,0.566
WF2,M_TYPE20,CU,749,0.6151,0.6208,0.5686
WF2,M_TYPE20,I,2100,0.571,0.5686,0.5521
WF2,M_TYPE20,M,1484,0.6008,0.6024,0.5436
WF2,M_TYPE20,MA,1218,0.5283,0.6133,0.5294
WF2,M_TYPE20,NI,811,0.591,0.5573,0.5446
WF2,M_TYPE20,P,971,0.5637,0.6313,0.5285
WF2,M_TYPE20,RB,1728,0.5775,0.6059,0.5538
WF2,M_TYPE20,RU,1075,0.5807,0.6028,0.5331
WF2,M_TYPE20,SC,967,0.5906,0.6132,0.5261
WF2,M_TYPE20,SN,604,0.6076,0.6689,0.5636
WF2,M_TYPE20,TA,1030,0.6279,0.6204,0.5694
WF2,M_GLOBAL_TYPE,AG,651,0.6015,0.6482,0.5634
WF2,M_GLOBAL_TYPE,AL,893,0.675,0.6573,0.6129
WF2,M_GLOBAL_TYPE,AU,688,0.6844,0.6453,0.5953
WF2,M_GLOBAL_TYPE,CF,1294,0.6277,0.5997,0.5878
WF2,M_GLOBAL_TYPE,CU,749,0.6688,0.6315,0.5945
WF2,M_GLOBAL_TYPE,I,2100,0.6107,0.5805,0.5659
WF2,M_GLOBAL_TYPE,M,1484,0.6239,0.6018,0.5573
WF2,M_GLOBAL_TYPE,MA,1218,0.5766,0.6158,0.5447
WF2,M_GLOBAL_TYPE,NI,811,0.652,0.5832,0.5749
WF2,M_GLOBAL_TYPE,P,971,0.6439,0.6622,0.5701
WF2,M_GLOBAL_TYPE,RB,1728,0.6122,0.6198,0.5703
WF2,M_GLOBAL_TYPE,RU,1075,0.6481,0.614,0.5499
WF2,M_GLOBAL_TYPE,SC,967,0.6095,0.6081,0.5405
WF2,M_GLOBAL_TYPE,SN,604,0.6375,0.6606,0.5743
WF2,M_GLOBAL_TYPE,TA,1030,0.6512,0.632,0.5785
WF2,M_IDENTITY_MAP,AG,651,0.5882,0.6406,0.5564
WF2,M_IDENTITY_MAP,AL,893,0.6898,0.6439,0.5956
WF2,M_IDENTITY_MAP,AU,688,0.6938,0.6483,0.5978
WF2,M_IDENTITY_MAP,CF,1294,0.6213,0.5734,0.5639
WF2,M_IDENTITY_MAP,CU,749,0.6766,0.6235,0.5863
WF2,M_IDENTITY_MAP,I,2100,0.5603,0.541,0.5246
WF2,M_IDENTITY_MAP,M,1484,0.6156,0.5923,0.5561
WF2,M_IDENTITY_MAP,MA,1218,0.5889,0.5977,0.5432
WF2,M_IDENTITY_MAP,NI,811,0.6662,0.5906,0.5814
