symbol,fold,stop_atr,target_r,mean_R_LOW,mean_R_MID,mean_R_HIGH,delta_high_low
M,5,0.75,2.5,0.299277,-0.051362,0.166667,-0.13261
M,5,0.75,3.0,0.285558,-0.067292,-0.051121,-0.33667899999999995
M,5,1.0,1.5,0.22474,0.021414,-0.166667,-0.391407
M,5,1.0,2.0,0.300054,0.028116,0.0,-0.300054
M,5,1.0,2.5,0.442911,-0.049324,-0.205008,-0.647919
M,5,1.0,3.0,0.521334,-0.021264,-0.205008,-0.7263419999999999
M,5,1.25,1.5,0.254482,-0.096269,-0.116234,-0.370716
M,5,1.25,2.0,0.317678,-0.149137,-0.246907,-0.564585
M,5,1.25,2.5,0.399465,-0.120237,-0.246907,-0.646372
M,5,1.25,3.0,0.460192,-0.236183,-0.246907,-0.7070989999999999
M,6,0.75,1.5,0.5,0.153846,0.5,0.0
M,6,0.75,2.0,0.35778,0.269231,0.65,0.29222000000000004
M,6,0.75,2.5,0.55778,0.480769,0.925,0.36722
M,6,0.75,3.0,0.615386,0.384615,0.803884,0.18849800000000005
M,6,1.0,1.5,0.168642,0.247948,0.55,0.3813580000000001
M,6,1.0,2.0,0.368642,0.363332,0.85,0.48135799999999995
M,6,1.0,2.5,0.436847,0.410217,0.7335,0.29665300000000006
M,6,1.0,3.0,0.586847,0.368058,0.662887,0.07604
M,6,1.25,1.5,0.256895,0.340666,0.67565,0.418755
M,6,1.25,2.0,0.351459,0.406249,0.63245,0.28099099999999994
M,6,1.25,2.5,0.480586,0.399787,0.590959,0.110373
M,6,1.25,3.0,0.359375,0.534403,0.55097,0.19159499999999996
M,ALL,0.75,1.5,-0.006302,0.07416,0.182565,0.188867
M,ALL,0.75,2.0,-0.081871,0.147723,0.268504,0.350375
M,ALL,0.75,2.5,0.002394,0.154465,0.348584,0.34619
M,ALL,0.75,3.0,-0.003896,0.119968,0.289836,0.293732
M,ALL,1.0,1.5,-0.133973,0.073665,0.175464,0.309437
M,ALL,1.0,2.0,-0.080174,0.104152,0.27852,0.35869399999999996
M,ALL,1.0,2.5,-0.049681,0.105624,0.179401,0.229082
M,ALL,1.0,3.0,-0.001191,0.103733,0.190345,0.19153599999999998
M,ALL,1.25,1.5,-0.070764,0.046706,0.191065,0.261829
