kappa,model,symbol,test_episodes,selected_episodes,trade_coverage,selected_mean_entry_value,positive_rate,caev,weighted_row_regret
0.005,ACTION3-M0,AU,314,42,0.1337579617834395,-1.392043941351242,0.3333333333333333,-0.1861969603081279,0.8887789194178201
0.005,ACTION3-M0,CF,160,13,0.08125,-1.1095099395078707,0.3076923076923077,-0.0901476825850145,0.48571275241716394
0.005,ACTION3-M0,CU,162,15,0.09259259259259259,-1.058688298842883,0.4,-0.09802669433730397,0.6124552575288799
0.005,ACTION3-M0,I,126,0,0.0,,,0.0,0.30079890272699356
0.005,ACTION3-M0,M,160,22,0.1375,-0.9452888007449335,0.22727272727272727,-0.12997721010242835,0.5454136085608503
0.005,ACTION3-M0,MA,161,12,0.07453416149068323,-0.6942904441470757,0.3333333333333333,-0.051748356085496335,0.593195132720407
0.005,ACTION3-M0,NI,144,1,0.006944444444444444,-0.1786860947293206,0.0,-0.0012408756578425042,0.5048027009684231
0.005,ACTION3-M0,P,130,16,0.12307692307692308,-1.0458499239902033,0.25,-0.1287199906449481,0.44117696769426784
0.005,ACTION3-M0,RB,138,6,0.043478260869565216,-1.9747749165296244,0.16666666666666666,-0.08585977897954888,0.45067927828007426
0.005,ACTION3-M0,RU,174,23,0.13218390804597702,-0.7114087816608256,0.2608695652173913,-0.0940367929781551,0.5526020980571751
0.005,ACTION3-M0,SC,258,15,0.05813953488372093,-1.312083636985291,0.06666666666666667,-0.07628393238286575,0.9306561869959361
0.005,ACTION3-M0,SN,150,4,0.02666666666666667,-0.3242992274048653,0.5,-0.008647979397463075,0.38707625459533523
0.005,ACTION3-M0,TA,150,1,0.006666666666666667,-9.715548385503162,0.0,-0.06477032257002108,0.4966509847562215
0.005,ACTION3-M1,AG,239,125,0.5230125523012552,-1.5617431542813858,0.344,-0.8168112731597206,0.7069828606527376
0.005,ACTION3-M1,AL,153,59,0.38562091503267976,-1.86797424965857,0.2711864406779661,-0.7203299394108211,0.4888831036483227
0.005,ACTION3-M1,AU,314,132,0.42038216560509556,-0.4660737581646148,0.4696969696969697,-0.19592909578894638,0.7223816532727477
0.005,ACTION3-M1,CF,160,79,0.49375,-1.4160748701196473,0.31645569620253167,-0.6991869671215758,0.5102379716149281
0.005,ACTION3-M1,CU,162,82,0.5061728395061729,-1.3315268739415973,0.35365853658536583,-0.6739827386617961,0.5062706711824011
0.005,ACTION3-M1,I,126,28,0.2222222222222222,-1.0486778242844854,0.2857142857142857,-0.23303951650766344,0.31377391578383457
0.005,ACTION3-M1,M,160,76,0.475,-1.004809503679516,0.32894736842105265,-0.4772845142477701,0.505407623357299
0.005,ACTION3-M1,MA,161,83,0.515527950310559,-1.4077317780032819,0.3132530120481928,-0.7257250781010708,0.5817178775653076
0.005,ACTION3-M1,NI,144,41,0.2847222222222222,-0.8094988460194193,0.3902439024390244,-0.23048231032497357,0.4860286593358068
0.005,ACTION3-M1,P,130,45,0.34615384615384615,-1.083277133014555,0.4,-0.37498054604349984,0.3530917451139356
0.005,ACTION3-M1,RB,138,48,0.34782608695652173,-1.1979415145215935,0.3541666666666667,-0.41667530939881514,0.4531710428256453
0.005,ACTION3-M1,RU,174,79,0.4540229885057471,-1.0651546445317814,0.35443037974683544,-0.48360469493109615,0.4880535281715774
0.005,ACTION3-M1,SC,258,138,0.5348837209302325,-1.0245543388011722,0.391304347826087,-0.5480174370331852,0.6955877361312677
0.005,ACTION3-M1,SN,150,30,0.2,-1.1279871899118368,0.4666666666666667,-0.22559743798236734,0.3656279873842672
0.005,ACTION3-M1,TA,150,28,0.18666666666666668,-1.494621732229131,0.32142857142857145,-0.2789960566827711,0.49263736108743417
0.01,REG-M0,AG,239,7,0.029288702928870293,-3.4037218379616405,0.14285714285714285,-0.09969059776456687,0.7127662404586133
0.01,REG-M0,AL,153,7,0.0457516339869281,-2.8523276198695497,0.14285714285714285,-0.13049864927507746,0.453883944417692
0.01,REG-M0,AU,314,17,0.054140127388535034,-0.9221208462462799,0.4117647058823529,-0.04992374008339732,0.8459031339926699
