factor,bucket,horizon,split,bucket_candidate_n,bucket_analyzable_n,bucket_analyzable_weight,bucket_invalidated_n,bucket_invalidation_rate,bucket_survival_rate,bucket_mean_first_invalidation_step,bucket_median_first_invalidation_step,rest_candidate_n,rest_analyzable_n,rest_analyzable_weight,rest_invalidated_n,rest_invalidation_rate,rest_survival_rate,rest_mean_first_invalidation_step,rest_median_first_invalidation_step,delta_invalidation_pp,delta_mean_first_step
ob_width_bucket,WIDE_GT_1.0,6,VALIDATION,4628,3511,2483.3643578643578,609,0.1557804124007864,0.8442195875992136,3.107729519143777,3.0,1599,1247,871.2136002886003,455,0.36143205719609334,0.6385679428039066,2.748626669640798,2.0,-20.565164479530694,0.35910284950297866
ob_width_bucket,WIDE_GT_1.0,12,DISCOVERY,10234,4886,3319.125865800866,1389,0.26851304938041703,0.7314869506195829,5.2089008651213815,4.0,3552,2010,1330.3598845598844,931,0.4699648371682564,0.5300351628317437,4.388888247783012,3.0,-20.145178778783933,0.8200126173383699
ob_width_bucket,WIDE_GT_1.0,12,VALIDATION,4628,2314,1554.7810245310245,648,0.260750239045276,0.739249760954724,5.032371734636348,4.0,1599,855,572.8302669552669,408,0.4792598080906967,0.5207401919093033,4.308626289520358,3.0,-21.85095690454207,0.7237454451159895
ob_width_bucket,WIDE_GT_1.0,24,DISCOVERY,10234,1678,1181.4376984126984,668,0.37861053740347966,0.6213894625965204,8.017948772542423,6.0,3552,870,577.5511904761904,493,0.576553717151438,0.423446282848562,6.3787194640182205,4.0,-19.794317974795835,1.639229308524203
ob_width_bucket,WIDE_GT_1.0,24,VALIDATION,4628,773,523.1535714285715,295,0.3490097827051603,0.6509902172948396,7.779959836215214,6.0,1599,387,262.83015873015876,226,0.6098905080835592,0.39010949191644084,6.235722242851838,4.0,-26.088072537839885,1.544237593363376
quant_state,LOW,6,DISCOVERY,516,516,414.1666666666667,101,0.18088531187122733,0.8191146881287726,3.0244716351501664,3.0,2278,2278,1716.307142857143,533,0.22732361423821076,0.7726763857617892,2.9428252352531943,3.0,-4.643830236698343,0.08164639989697209
quant_state,LOW,6,VALIDATION,381,381,318.0,58,0.15649895178197065,0.8435010482180294,3.415941058271936,3.0,1754,1754,1340.5833333333333,365,0.2019394542176913,0.7980605457823087,2.92587576186665,3.0,-4.544050243572065,0.4900652964052856
quant_state,LOW,12,DISCOVERY,516,392,312.16666666666663,108,0.26935397757608115,0.7306460224239189,4.968285431119921,4.0,2278,1856,1406.792857142857,629,0.33654056085016076,0.6634594391498392,4.736373877271858,4.0,-6.718658327407962,0.23191155384806272
quant_state,LOW,12,VALIDATION,381,295,245.0,82,0.28068027210884355,0.7193197278911565,5.5986427532719345,6.0,1754,1469,1118.0833333333333,464,0.30354028471342326,0.6964597152865768,5.0100672788881795,4.0,-2.2860012604579705,0.588575474383755
quant_state,LOW,24,DISCOVERY,516,88,66.0,33,0.34595959595959597,0.654040404040404,6.832116788321168,4.0,2278,974,743.6761904761904,469,0.478424429475194,0.521575570524806,7.590097234211988,5.0,-13.246483351559801,-0.7579804458908193
quant_state,LOW,24,VALIDATION,381,58,49.0,30,0.48639455782312924,0.5136054421768708,7.013986013986014,5.666666666666665,1754,749,586.5,320,0.40721795964762714,0.5927820403523729,7.024773203070482,5.0,7.91765981755021,-0.010787189084467741
quant_state,MID,6,DISCOVERY,920,920,720.9309523809524,175,0.17946372250165957,0.8205362774983405,3.140688259109312,3.0,1874,1874,1409.542857142857,459,0.23815725463169418,0.7618427453683059,2.8847869722180848,2.0,-5.869353213003461,0.2559012868912274
quant_state,MID,6,VALIDATION,891,891,708.875,160,0.17640627755245988,0.8235937224475401,2.998800479808077,3.0,1244,1244,949.7083333333333,263,0.20578247707629538,0.7942175229237046,3.004008186935016,3.0,-2.9376199523835496,-0.005207707126939187
quant_state,MID,12,DISCOVERY,920,701,551.25,207,0.2941798941798942,0.7058201058201058,5.299588900308325,5.0,1874,1547,1167.709523809524,530,0.33857694550585393,0.6614230544941461,4.554678984167515,4.0,-4.439705132595972,0.7449099161408101
