目标,退出方式,品种,折,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,提前退出比例,平均持有K线数
2.0R,S0_CURRENT-B-LightGBM,AG,F4,-0.5049,-1.7404,0.8367,0.7763027024141889,202,-35.024,-0.173386,0.0248,1.6485
2.0R,S0_CURRENT-B-LightGBM,CU,F4,-0.4114,-1.3918,0.7876,0.8005111227961147,202,-31.2337,-0.154622,0.0099,1.5248
2.0R,S0_CURRENT-B-LightGBM,M,F4,-0.4597,-1.575,0.7969,0.7925213686706999,202,-32.4847,-0.160815,0.005,0.7079
2.0R,S0_CURRENT-B-LightGBM,RB,F4,-0.4665,-1.5976,0.8037,0.7897535896844092,202,-32.918,-0.16296,0.0,0.0297
2.0R,S1_PATH_ONLY-A-LightGBM,AG,F1,0.3888,1.2721,0.6449,1.0495099657606164,559,15.4442,0.027628,0.1538,0.8801
2.0R,S1_PATH_ONLY-A-LightGBM,CU,F1,0.4202,1.2046,0.7656,1.0377527264704443,559,11.9744,0.021421,0.1646,0.7138
2.0R,S1_PATH_ONLY-A-LightGBM,M,F1,0.9583,2.47,0.5989,1.1091108167552375,559,35.2627,0.063082,0.0698,0.3113
2.0R,S1_PATH_ONLY-A-LightGBM,RB,F1,0.0189,0.0554,0.8966,0.9655726328238455,559,-11.5172,-0.020603,0.1055,0.3596
2.0R,S1_PATH_ONLY-A-LightGBM,AG,F2,2.0726,3.873,1.1321,1.3066075807939137,714,116.6198,0.163333,0.1246,1.007
2.0R,S1_PATH_ONLY-A-LightGBM,CU,F2,0.879,1.9899,0.871,1.1492504172255575,714,58.1655,0.081464,0.1555,1.2451
2.0R,S1_PATH_ONLY-A-LightGBM,M,F2,0.9076,2.1473,1.1173,1.162217568164423,714,65.5319,0.091781,0.0686,0.5364
2.0R,S1_PATH_ONLY-A-LightGBM,RB,F2,0.9521,1.8867,1.2695,1.1510363953539458,714,63.0949,0.088368,0.0224,0.2801
2.0R,S1_PATH_ONLY-A-LightGBM,AG,F3,0.3674,1.8547,0.3911,1.185925121263925,139,14.2768,0.102711,0.0935,0.3885
2.0R,S1_PATH_ONLY-A-LightGBM,CU,F3,-0.1965,-1.3223,0.5771,0.7723338976379795,139,-16.0296,-0.115321,0.3885,1.3597
2.0R,S1_PATH_ONLY-A-LightGBM,M,F3,0.2389,1.1736,0.494,1.088400059300091,139,7.0659,0.050834,0.0288,0.3309
2.0R,S1_PATH_ONLY-A-LightGBM,RB,F3,0.3617,1.7646,0.4221,1.166461401194275,139,13.0983,0.094233,0.0072,0.0432
2.0R,S1_PATH_ONLY-A-LightGBM,AG,F4,-0.5969,-2.064,0.9198,0.7490588266558164,202,-38.5061,-0.190624,0.1089,1.2822
2.0R,S1_PATH_ONLY-A-LightGBM,CU,F4,-0.5133,-1.794,0.7609,0.7769488180144113,202,-33.9667,-0.168152,0.0842,1.3515
2.0R,S1_PATH_ONLY-A-LightGBM,M,F4,-0.528,-1.7708,0.8652,0.7639453660772396,202,-36.9588,-0.182964,0.0446,0.5941
2.0R,S1_PATH_ONLY-A-LightGBM,RB,F4,-0.4665,-1.5976,0.8037,0.7897535896844092,202,-32.918,-0.16296,0.0,0.0297
2.0R,S1_PATH_ONLY-A-线性,AG,F1,0.6956,1.9526,0.6542,1.0844151416049495,559,28.8916,0.051684,0.0465,1.4723
2.0R,S1_PATH_ONLY-A-线性,CU,F1,0.6617,1.7483,0.7154,1.0706267706244286,559,24.0312,0.04299,0.0268,1.1646
2.0R,S1_PATH_ONLY-A-线性,M,F1,0.574,1.5835,0.6694,1.0593053542643398,559,20.2976,0.036311,0.0072,0.6512
