risk_ATR,wf,model,roc_auc_lo,roc_auc_hi,brier_lo,brier_hi,bottom20_gain_lo,bottom20_gain_hi
0.5,WF1,M_B2mG1,0.6535627846192867,0.6747059294270265,0.2284491692727276,0.23575852147295212,0.17858418164367398,0.21489351884252958
0.5,WF1,M_B2mG2,0.7224098808979766,0.7422446001030802,0.20426397511306416,0.21098546914735433,0.2562383049018416,0.2888117325471628
0.5,WF1,M_B2mG3,0.692923077183465,0.7142737432054308,0.21580531845061743,0.22386755778410436,0.2065989801572571,0.24452503404025844
0.5,WF1,M_B2mG4,0.6934824527545076,0.7142928671764887,0.21575246358536856,0.2235242733820676,0.21122091300018575,0.24909073315356423
0.5,WF1,M_B2mG5,0.6931663951150062,0.7145802024248564,0.21584792510572562,0.223593277960389,0.2111784196589434,0.24926155295028202
0.5,WF2,M0,0.5503407572661891,0.5765640778928556,0.24506050165490462,0.24998041053533693,0.08374806883662106,0.12658072245048305
0.5,WF2,M_G1,0.7311927908932426,0.7495325763685542,0.2025442849387855,0.2092493956387497,0.274050401013404,0.30310972959018917
0.5,WF2,M_G2,0.5484002625074764,0.5713473187019429,0.251084172696399,0.2573550900408241,0.07151522047849047,0.10805387788178336
0.5,WF2,M_G3,0.6734940928158538,0.6962883076152042,0.22045523255295546,0.2269954611282015,0.2141945134663616,0.24596725086107984
0.5,WF2,M_G4,0.5503407572661891,0.5765640778928556,0.24506050165490462,0.24998041053533693,0.08374806883662106,0.12658072245048305
0.5,WF2,M_G5,0.5883120081843373,0.6133402011070282,0.23971095338475717,0.24553139148468886,0.09154420712597347,0.1366633522346958
0.5,WF2,M_simple,0.7138439466617924,0.7328265466387692,0.20939841934199183,0.21661528011307757,0.2501440889613375,0.2796989941321942
0.5,WF2,M_field,0.7138439466617924,0.7328265466387692,0.20939841934199183,0.21661528011307757,0.2501440889613375,0.2796989941321942
0.5,WF2,M_B2_full,0.7146150619856638,0.7334969360149667,0.20911265707692803,0.21624087794659733,0.247528880885547,0.27922096981319416
0.5,WF2,M_ob,0.5462104944500026,0.5719715198437192,0.24642636690241054,0.25172091740649793,0.07275979179989776,0.11977865363111857
0.5,WF2,M_full,0.6891456782838189,0.7112277528903799,0.22190068265820825,0.23104098281966812,0.22698084113181669,0.26250501773225576
0.5,WF2,M_full_minus_ob,0.6898943599770718,0.7117378998692092,0.2214031739547307,0.23051933588970774,0.2266766622831937,0.2627590065632681
0.5,WF2,M_B2mG1,0.6717106587650646,0.6891108933389526,0.22405153577372008,0.23036048215519628,0.21071871083287397,0.24605477652729943
0.5,WF2,M_B2mG2,0.7306628481767756,0.7487606394066079,0.20270836347529753,0.20941843423649875,0.2769612197370745,0.30610987480521623
0.5,WF2,M_B2mG3,0.714339686725413,0.7332197028066137,0.20929037699849762,0.21641402573024882,0.24884166747209271,0.27964452828194003
0.5,WF2,M_B2mG4,0.7146150619856638,0.7334969360149667,0.20911265707692803,0.21624087794659733,0.247528880885547,0.27922096981319416
0.5,WF2,M_B2mG5,0.7135986312063396,0.7329499036366403,0.20936019675473458,0.21662556222405369,0.24858298451993519,0.27829568648790165
0.5,WF3,M0,0.5647311089992572,0.5912189797418975,0.24301372299167748,0.2469765000799073,0.07310734863567508,0.11686483911170317
0.5,WF3,M_G1,0.7264712823754965,0.7427316593211163,0.20510337623917105,0.21082621348039499,0.2604225245658606,0.29310855468198793
0.5,WF3,M_G2,0.5510012933288156,0.5787769286770833,0.2471973782067623,0.2530214896788439,0.06184159811889635,0.11118664188947651
0.5,WF3,M_G3,0.6775849640036354,0.6959573074141406,0.22086213038908376,0.2260862425118979,0.20262839948981123,0.2376023830346061
0.5,WF3,M_G4,0.5647311089992572,0.5912189797418975,0.24301372299167748,0.2469765000799073,0.07310734863567508,0.11686483911170317
0.5,WF3,M_G5,0.5950533124964705,0.615334075097452,0.23967295655412196,0.24377590840861596,0.09324198453809694,0.13500260722748922
0.5,WF3,M_simple,0.7137057209853467,0.7307400014758253,0.20993463840934035,0.21629268296382437,0.2433242729022534,0.2760520864809467
0.5,WF3,M_field,0.7137057209853467,0.7307400014758253,0.20993463840934035,0.21629268296382437,0.2433242729022534,0.2760520864809467
0.5,WF3,M_B2_full,0.7117710831081232,0.7291533625826304,0.21057770460605446,0.2172198323068415,0.24350481896294848,0.27559478775389734
0.5,WF3,M_ob,0.5709563021302376,0.5978428129806999,0.24243675798484587,0.2464240956288875,0.08697801658802849,0.1282313414499851
0.5,WF3,M_full,0.6957875506613989,0.7146269081625614,0.21759846770840238,0.22469003698034973,0.22564529478263143,0.26162364659458603
0.5,WF3,M_full_minus_ob,0.6978373828057441,0.7160122446613707,0.21679630939943492,0.22394821629698272,0.2249417888712437,0.2615055584381384
0.5,WF3,M_B2mG1,0.6717722436070762,0.6892662153660173,0.2234089920526927,0.2294266236260754,0.21604895050214737,0.2538901159884985
0.5,WF3,M_B2mG2,0.7244852691695366,0.740863749671991,0.20578015870350133,0.21162556294680254,0.25824271706627766,0.29178253991731706
0.5,WF3,M_B2mG3,0.7114143586188545,0.7288162334635773,0.21075163859913293,0.2173963658515281,0.2453953253093922,0.2783535446382222
0.5,WF3,M_B2mG4,0.7117710831081232,0.7291533625826304,0.21057770460605446,0.2172198323068415,0.24350481896294848,0.27559478775389734
0.5,WF3,M_B2mG5,0.7128724807159331,0.7299071122091675,0.2102728534131642,0.216763657017379,0.24354135403602162,0.27680894458700966
