horizon,feature_set,model,quantile,fold,feature,effect_kind,value,abs_value
4,F1_DIRECTION,gbr_quantile,0.1,4,feat_time_after_long_gap,tree_importance,0.0017793151004798417,0.0017793151004798417
4,F1_DIRECTION,gbr_quantile,0.5,4,feat_15m_ret_1,tree_importance,0.20102116328956668,0.20102116328956668
4,F1_DIRECTION,gbr_quantile,0.5,4,feat_15m_ret_4,tree_importance,0.15295545319585613,0.15295545319585613
4,F1_DIRECTION,gbr_quantile,0.5,4,feat_15m_ret_8,tree_importance,0.20325634338247617,0.20325634338247617
4,F1_DIRECTION,gbr_quantile,0.5,4,feat_15m_ret_16,tree_importance,0.18154281521939045,0.18154281521939045
4,F1_DIRECTION,gbr_quantile,0.5,4,feat_15m_location_32,tree_importance,0.17949546994512017,0.17949546994512017
4,F1_DIRECTION,gbr_quantile,0.5,4,feat_time_bars_since_segment_start,tree_importance,0.06386843929541748,0.06386843929541748
4,F1_DIRECTION,gbr_quantile,0.5,4,feat_time_after_long_gap,tree_importance,0.01786031567217297,0.01786031567217297
4,F1_DIRECTION,gbr_quantile,0.9,4,feat_15m_ret_1,tree_importance,0.09403429494150435,0.09403429494150435
4,F1_DIRECTION,gbr_quantile,0.9,4,feat_15m_ret_4,tree_importance,0.09059915210141928,0.09059915210141928
4,F1_DIRECTION,gbr_quantile,0.9,4,feat_15m_ret_8,tree_importance,0.13600583991656712,0.13600583991656712
4,F1_DIRECTION,gbr_quantile,0.9,4,feat_15m_ret_16,tree_importance,0.10978246287543239,0.10978246287543239
4,F1_DIRECTION,gbr_quantile,0.9,4,feat_15m_location_32,tree_importance,0.18295271996592005,0.18295271996592005
4,F1_DIRECTION,gbr_quantile,0.9,4,feat_time_bars_since_segment_start,tree_importance,0.38489180102566284,0.38489180102566284
4,F1_DIRECTION,gbr_quantile,0.9,4,feat_time_after_long_gap,tree_importance,0.0017337291734940293,0.0017337291734940293
4,F2_ACTIVITY,linear_qr,0.1,0,feat_15m_ret_1,standardized_coefficient,0.000373641253484584,0.000373641253484584
4,F2_ACTIVITY,linear_qr,0.1,0,feat_15m_ret_4,standardized_coefficient,-0.0008335535341064691,0.0008335535341064691
4,F2_ACTIVITY,linear_qr,0.1,0,feat_15m_ret_8,standardized_coefficient,-0.0006996301300193814,0.0006996301300193814
4,F2_ACTIVITY,linear_qr,0.1,0,feat_15m_ret_16,standardized_coefficient,0.0008652358220841188,0.0008652358220841188
4,F2_ACTIVITY,linear_qr,0.1,0,feat_15m_location_32,standardized_coefficient,0.0018863440706663047,0.0018863440706663047
4,F2_ACTIVITY,linear_qr,0.1,0,feat_time_bars_since_segment_start,standardized_coefficient,-0.00015926909918689936,0.00015926909918689936
4,F2_ACTIVITY,linear_qr,0.1,0,feat_time_after_long_gap,standardized_coefficient,-0.0015471588412117156,0.0015471588412117156
