variant,wf,action,structure_scale,base_h,later_h,waiting_distance,matched_n,median_delta_RR,mean_delta_target_first,median_delta_E_R_lower,median_delta_E_R_upper,median_delta_target_distance_atr,median_delta_risk_distance_atr,share_delta_RR_positive,share_delta_target_first_positive,share_delta_E_R_lower_positive
first_available,WF2,OUTWARD,0.4,5,8,3,1154,-0.16666666666666657,0.02772963604852686,0.0,0.0,0.0,0.0,0.47400346620450606,0.09098786828422877,0.11438474870017332
first_available,WF3,OUTWARD,0.4,3,8,5,2964,0.10558619462729052,-0.025303643724696356,0.0,0.0,0.20833333333333304,0.0,0.5030364372469636,0.09210526315789473,0.1150472334682861
first_available,WF3,OUTWARD,0.4,2,8,6,17400,1.1714943565031655,-0.08706896551724137,0.0,0.0,0.4838709677419355,-0.044570597380565055,0.6012643678160919,0.08339080459770115,0.12063218390804598
first_available,WF3,OUTWARD,0.4,5,8,3,1335,0.7235024941490487,-0.00299625468164794,0.0,0.0,0.0,-0.04547106525472355,0.5453183520599251,0.0696629213483146,0.08838951310861423
first_available,WF1,OUTWARD,0.8,2,8,6,11918,1.333333333333334,-0.13164960563852995,0.0,0.0,0.5555555555555556,-0.20833333333333334,0.6587514683671757,0.08583654975667059,0.13844604799462998
first_available,WF1,OUTWARD,0.8,3,8,5,4093,0.6666666666666665,-0.08893232347911068,0.0,0.0,0.3125,0.0,0.5792817004642071,0.08111409723918886,0.12313706327876862
first_available,WF1,OUTWARD,0.8,5,8,3,3440,0.4686229427131525,-0.05755813953488372,0.0,0.0,0.125,-0.09259259259259256,0.5604651162790698,0.04709302325581395,0.13633720930232557
first_available,WF2,OUTWARD,0.8,3,8,5,3779,0.8666666666666667,-0.07197671341624769,0.0,0.0,0.35256410256410264,-0.11627906976744196,0.6118020640381053,0.09050013231013496,0.13654405927494045
first_available,WF2,OUTWARD,0.8,2,8,6,11011,1.4,-0.13413858868404324,0.0,0.0,0.5714285714285716,-0.2272727272727273,0.6734174915993097,0.086731450367814,0.15121242393969667
first_available,WF2,OUTWARD,0.8,5,8,3,3353,0.6666666666666667,-0.06412168207575306,0.0,0.0,0.1408450704225359,-0.10769230769230764,0.5702356099015806,0.04682373993438712,0.09513868177751268
first_available,WF3,OUTWARD,0.8,5,8,3,3489,0.6071428571428572,-0.08139868157065061,0.0,0.0,0.05319148936170215,-0.12430939226519333,0.5740899971338492,0.04528518200057323,0.10117512181140728
first_available,WF3,OUTWARD,0.8,2,8,6,11098,1.4694444444444446,-0.12903225806451613,0.0,0.0,0.5882352941176472,-0.2167630057803468,0.6607496846278609,0.07208506037123806,0.13020364029554873
first_available,WF3,OUTWARD,0.8,3,8,5,3725,0.7571568080357143,-0.12671140939597317,0.0,0.0,0.3448275862068966,-0.07246376811594202,0.5914093959731543,0.06765100671140939,0.11624161073825504
first_available,WF1,OUTWARD,1.2,2,8,6,6701,1.4,-0.18758394269512013,0.0,0.0,0.6521739130434784,-0.39603960396039595,0.7173556185643933,0.05864796299059842,0.13982987613788986
first_available,WF1,OUTWARD,1.2,3,8,5,3374,1.1091107870023105,-0.12685240071132187,0.0,0.0,0.45454545454545503,-0.2564102564102565,0.6650859513930053,0.053052756372258446,0.13070539419087138
first_available,WF1,OUTWARD,1.2,5,8,3,4111,0.5625,-0.0758939430795427,0.0,0.0,0.17857142857142883,-0.19999999999999996,0.6095840428119679,0.03356847482364388,0.14813913889564584
first_available,WF2,OUTWARD,1.2,5,8,3,3857,0.666666666666667,-0.077780658542909,0.0,0.0,0.25,-0.20833333333333326,0.6173191599688878,0.03759398496240601,0.13559761472647136
first_available,WF2,OUTWARD,1.2,3,8,5,3035,1.3,-0.15222405271828665,0.0,0.0,0.4622496147919879,-0.33333333333333326,0.6784184514003295,0.05502471169686985,0.12652388797364086
first_available,WF2,OUTWARD,1.2,2,8,6,6505,1.5,-0.15449654112221367,0.0,0.0,0.6543591289277373,-0.37037037037037046,0.7122213681783244,0.07548039969254419,0.1695618754803997
first_available,WF3,OUTWARD,1.2,5,8,3,3831,0.43333333333333335,-0.09449229966066301,0.0,0.0,0.15151515151515138,-0.1785714285714286,0.5920125293657008,0.036543983294179065,0.12607674236491778
