instrument,horizon,features,learner,stratum,n,auc,brier_skill,logloss_skill,calibration_slope,return_spread
CU,H15,B3,gbr,TOP30,3702,0.5126864497584249,-0.005620629744710559,-0.00420811330901949,0.052470336517407686,1.1547610252175646e-05
CU,H15,B3,gbr,TOP20,2562,0.5120547689708326,-0.007037664087084172,-0.0052488071217924315,0.04992654578270839,7.346963681758321e-05
CU,H15,B3,logistic,ALL,7623,0.5089906727934274,-0.00469370822765236,-0.006221961692842726,-0.0012753482018889048,1.0443552776611094e-05
CU,H15,B3,logistic,TOP50,5662,0.5091985460445235,-0.0063553697536777864,-0.008400952356045988,-0.0046371938013419975,-2.6990592298677156e-05
CU,H15,B3,logistic,TOP30,3702,0.51007528479532,-0.009470459487076255,-0.012662292259741914,-0.007634605511976457,-8.218389877418078e-05
CU,H15,B3,logistic,TOP20,2562,0.5119663886648904,-0.01289306107577537,-0.017734676383592607,-0.01326355326758672,-7.759967093676434e-05
AL,H5,B0,gbr,ALL,8813,0.5381080670328523,0.0011957912144908711,0.0006456392402408584,0.13811718976221543,3.4026296202008446e-05
AL,H5,B0,gbr,TOP50,5711,0.5371492547836052,-0.0010142042737673052,-0.0009738915461248165,0.12655006776785171,1.923375494246749e-05
AL,H5,B0,gbr,TOP30,4045,0.5461371978616903,0.0031132778323499366,0.002111263267399077,0.14711662476855386,1.3712758622463419e-05
AL,H5,B0,gbr,TOP20,3005,0.555147977234133,0.0060767639613067415,0.004351348151793832,0.17039889589729665,8.514139084430986e-05
AL,H5,B0,logistic,ALL,8813,0.5208053526005647,-0.010211041420876033,-0.015259365132960001,0.025805005453174885,4.241783295425521e-06
AL,H5,B0,logistic,TOP50,5711,0.5150460810137822,-0.018481209550221367,-0.025512320860618276,0.016600392889836512,2.6422352189742314e-06
AL,H5,B0,logistic,TOP30,4045,0.5195905809501509,-0.021109842111383115,-0.03228879576790966,0.01777721545830679,2.012350803958887e-05
AL,H5,B0,logistic,TOP20,3005,0.5288523366036796,-0.02602400837356722,-0.041532655566547394,0.017273668784828486,-1.5745737231835935e-05
AL,H5,B1,gbr,ALL,8813,0.5375821402285469,0.001425823789469871,0.0008433333264402654,0.14142194771037903,-2.2982651438024815e-06
AL,H5,B1,gbr,TOP50,5711,0.5371662551576135,-0.00015738333881576416,-0.00032073250554476296,0.1336878839997677,-4.559637712345625e-06
AL,H5,B1,gbr,TOP30,4045,0.5451239825316673,0.0032757051506679957,0.0022439732021447556,0.14916404701837543,2.952667144609535e-06
AL,H5,B1,gbr,TOP20,3005,0.5548073098959014,0.006022355347275354,0.0043148744661969385,0.17175658154383017,-2.3151753479855744e-05
AL,H5,B1,logistic,ALL,8813,0.5256917027377681,-0.010138832751628968,-0.017782195435817938,0.02423014239931169,9.149755368933e-06
