group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread
ALL_8,H15,S1,TOP50,logistic,8,0.5095660974345706,1.0,-0.008660977131836445,0.25,-0.010416577351189282,0.25,-9.596443136177934e-05,0.25
ALL_8,H15,S2,ALL,gbr,8,0.5152167822016407,1.0,-0.005110707558286354,0.0,-0.003976737148627452,0.0,-9.702193596198557e-05,0.375
ALL_8,H15,S2,ALL,logistic,8,0.5127989847106067,1.0,-0.007375255244643886,0.125,-0.009462424025466376,0.125,-5.541800088116629e-05,0.5
ALL_8,H15,S2,TOP20,gbr,8,0.5232176934311127,1.0,-0.008643998660979313,0.125,-0.006796076109524374,0.125,6.799930487133988e-05,0.5
ALL_8,H15,S2,TOP20,logistic,8,0.5250141889412892,1.0,-0.018837760841016515,0.125,-0.022928006659549416,0.125,-1.6253419488910386e-05,0.5
ALL_8,H15,S2,TOP30,gbr,8,0.5223140569098648,1.0,-0.005237083459113112,0.125,-0.004253280325436148,0.125,-2.0527827332593254e-05,0.5
ALL_8,H15,S2,TOP30,logistic,8,0.5199088275902622,1.0,-0.014811231934281466,0.25,-0.018277954229960813,0.25,-3.802149187648498e-05,0.5
ALL_8,H15,S2,TOP50,gbr,8,0.5190599649264975,1.0,-0.004724307688246054,0.0,-0.003630640174407951,0.0,-9.548492265622517e-05,0.375
ALL_8,H15,S2,TOP50,logistic,8,0.5165111243361442,1.0,-0.01048875287735307,0.125,-0.014785923535849954,0.125,-8.352668478388053e-05,0.5
ALL_8,H15,S3,ALL,gbr,8,0.5146276163983641,1.0,-0.0055906804478566,0.125,-0.0043111442486800655,0.125,-6.643306356156886e-05,0.375
ALL_8,H15,S3,ALL,logistic,8,0.5115511762017819,1.0,-0.008135881344119356,0.125,-0.011166702113186822,0.125,5.705158309754134e-06,0.5
ALL_8,H15,S3,TOP20,gbr,8,0.5226225716507302,1.0,-0.008408114190121219,0.125,-0.00662157067564062,0.125,-3.522588343926345e-05,0.5
ALL_8,H15,S3,TOP20,logistic,8,0.5251544217873518,1.0,-0.020254236090997302,0.125,-0.028165886843922516,0.125,9.970884993692104e-05,0.625
ALL_8,H15,S3,TOP30,gbr,8,0.5213919434606744,1.0,-0.004919740510898274,0.125,-0.0037403987765263214,0.125,-5.472393449560999e-05,0.5
ALL_8,H15,S3,TOP30,logistic,8,0.5206477380430006,1.0,-0.015880005183898427,0.25,-0.02164388399284345,0.25,1.2608168066648501e-05,0.5
ALL_8,H15,S3,TOP50,gbr,8,0.5188332432785069,1.0,-0.0045200779241876266,0.0,-0.003458924034260291,0.0,-6.136161633838248e-05,0.375
ALL_8,H15,S3,TOP50,logistic,8,0.5172629762918071,1.0,-0.01149548578743087,0.125,-0.017241907953166158,0.125,-4.579023664806749e-05,0.5
ALL_8,H5,S0,ALL,gbr,8,0.5264711555795316,1.0,-0.0016373567101026776,0.375,-0.0013966941734353533,0.125,-1.0465555166977736e-05,0.375
ALL_8,H5,S0,ALL,logistic,8,0.5205723362963346,1.0,-0.001378651809912923,0.25,-0.0011550740415989802,0.125,-2.894996672928326e-05,0.5
ALL_8,H5,S0,TOP20,gbr,8,0.5223174278879269,1.0,-0.0056482013357013194,0.125,-0.004263132116778978,0.125,-5.2117968715777254e-05,0.375
ALL_8,H5,S0,TOP20,logistic,8,0.5205609971076024,1.0,-0.009253683975384175,0.125,-0.007815430793898126,0.125,-0.00012589784486415078,0.25
ALL_8,H5,S0,TOP30,gbr,8,0.5240317667216272,1.0,-0.002778530651590061,0.0,-0.002108727194408133,0.0,-4.45016184921835e-06,0.5
ALL_8,H5,S0,TOP30,logistic,8,0.5205298419774235,1.0,-0.005814636247075011,0.125,-0.0048672522142417796,0.125,-9.916073892804682e-05,0.5
ALL_8,H5,S0,TOP50,gbr,8,0.5234564729476112,1.0,-0.0034383851278041444,0.0,-0.002657151361589394,0.0,-3.836578083523635e-05,0.375
ALL_8,H5,S0,TOP50,logistic,8,0.5209834768120678,1.0,-0.004035336130330136,0.125,-0.003493227932461651,0.125,-5.486345153432808e-05,0.5
ALL_8,H5,S1,ALL,gbr,8,0.5319917149625175,1.0,0.0003854917487164933,0.5,0.00015672555856061088,0.5,5.965559658018124e-05,0.625
ALL_8,H5,S1,ALL,logistic,8,0.5220145324021832,1.0,-0.0033021758783159383,0.125,-0.004768038167750843,0.125,-2.6273729024381428e-05,0.375
ALL_8,H5,S1,TOP20,gbr,8,0.5307114599965445,1.0,-0.001792028032869486,0.375,-0.0009704293843055822,0.375,8.395244764391744e-05,0.625
ALL_8,H5,S1,TOP20,logistic,8,0.5243599827835943,1.0,-0.010155426588029925,0.125,-0.012202441687776622,0.125,-9.831316646604717e-05,0.25
ALL_8,H5,S1,TOP30,gbr,8,0.5331564026372038,1.0,9.014236738025261e-05,0.5,-2.9933910189683388e-05,0.375,5.549374370857672e-05,0.625
ALL_8,H5,S1,TOP30,logistic,8,0.5238990927529223,1.0,-0.008361186479814542,0.125,-0.008168609625637147,0.125,-8.358796273644011e-05,0.25
ALL_8,H5,S1,TOP50,gbr,8,0.5297815843615108,1.0,-0.0013596201299560517,0.375,-0.0011493514723900367,0.375,5.115564913143517e-05,0.75
ALL_8,H5,S1,TOP50,logistic,8,0.5227086073462172,1.0,-0.005679602055833843,0.125,-0.006374642849155343,0.125,-3.8150481726964504e-05,0.25
ALL_8,H5,S2,ALL,gbr,8,0.5296917539045003,1.0,-5.335350075352796e-06,0.5,-0.00011078700428585053,0.5,2.0045521104284312e-05,0.5
ALL_8,H5,S2,ALL,logistic,8,0.5262094410084475,1.0,-0.0030274983806807265,0.25,-0.00498440498777708,0.25,1.0000844300507155e-05,0.5
ALL_8,H5,S2,TOP20,gbr,8,0.5304210496321377,1.0,-0.0023298287434777576,0.25,-0.0018742577881272204,0.375,2.518172628233259e-05,0.625
