ns,contract
1762830000000000000,SHFE.ag2512
1762830900000000000,SHFE.ag2512
1762839000000000000,SHFE.ag2512
1762839900000000000,SHFE.ag2512
1762840800000000000,SHFE.ag2512
1762841700000000000,SHFE.ag2512
1762842600000000000,SHFE.ag2512
1762843500000000000,SHFE.ag2512
1762866000000000000,SHFE.ag2512
1762866900000000000,SHFE.ag2512
1762867800000000000,SHFE.ag2512
1762868700000000000,SHFE.ag2512
1762869600000000000,SHFE.ag2512
1762870500000000000,SHFE.ag2512
1762871400000000000,SHFE.ag2512
1762872300000000000,SHFE.ag2512
1762873200000000000,SHFE.ag2512
1762874100000000000,SHFE.ag2512
1762875000000000000,SHFE.ag2512
1762875900000000000,SHFE.ag2512
1762876800000000000,SHFE.ag2512
1762877700000000000,SHFE.ag2512
1762878600000000000,SHFE.ag2512
1762879500000000000,SHFE.ag2512
1762880400000000000,SHFE.ag2512
1762881300000000000,SHFE.ag2512
1762882200000000000,SHFE.ag2512
1762883100000000000,SHFE.ag2512
1762884000000000000,SHFE.ag2512
1762884900000000000,SHFE.ag2512
1762909200000000000,SHFE.ag2512
1762910100000000000,SHFE.ag2512
1762911000000000000,SHFE.ag2512
1762911900000000000,SHFE.ag2512
1762912800000000000,SHFE.ag2512
1762914600000000000,SHFE.ag2512
1762915500000000000,SHFE.ag2512
1762916400000000000,SHFE.ag2512
1762917300000000000,SHFE.ag2512
1762925400000000000,SHFE.ag2512
1762926300000000000,SHFE.ag2512
1762927200000000000,SHFE.ag2512
1762928100000000000,SHFE.ag2512
1762929000000000000,SHFE.ag2512
1762929900000000000,SHFE.ag2512
1762952400000000000,SHFE.ag2512
1762953300000000000,SHFE.ag2512
1762954200000000000,SHFE.ag2512
1762955100000000000,SHFE.ag2512
1762956000000000000,SHFE.ag2512
1762956900000000000,SHFE.ag2512
1762957800000000000,SHFE.ag2512
1762958700000000000,SHFE.ag2512
1762959600000000000,SHFE.ag2512
1762960500000000000,SHFE.ag2512
1762961400000000000,SHFE.ag2512
1762962300000000000,SHFE.ag2512
1762963200000000000,SHFE.ag2512
1762964100000000000,SHFE.ag2512
1762965000000000000,SHFE.ag2512
1762965900000000000,SHFE.ag2512
1762966800000000000,SHFE.ag2512
1762967700000000000,SHFE.ag2512
1762968600000000000,SHFE.ag2512
1762969500000000000,SHFE.ag2512
1762970400000000000,SHFE.ag2512
1762971300000000000,SHFE.ag2512
1762995600000000000,SHFE.ag2512
1762996500000000000,SHFE.ag2512
1762997400000000000,SHFE.ag2512
1762998300000000000,SHFE.ag2512
1762999200000000000,SHFE.ag2512
1763001000000000000,SHFE.ag2512
1763001900000000000,SHFE.ag2512
1763002800000000000,SHFE.ag2512
1763003700000000000,SHFE.ag2512
1763011800000000000,SHFE.ag2512
1763012700000000000,SHFE.ag2512
1763013600000000000,SHFE.ag2512
1763014500000000000,SHFE.ag2512
1763015400000000000,SHFE.ag2512
1763016300000000000,SHFE.ag2512
1763038800000000000,SHFE.ag2512
