risk_ATR,wf,model,n_train,n_test,base_delivery_rate,roc_auc,pr_auc,brier,logloss,top20_delivery_rate,bottom20_delivery_rate,bottom20_avoidance_gain
1.0,WF1,M_ob,20763,25444,0.7443551842330762,0.6050003799172846,0.8188318928474364,0.1796746615188809,0.5431859494274066,0.8431911966987621,0.6449204165847907,0.09943476764828552
1.0,WF1,M_full,20763,25444,0.7443551842330762,0.7589144756269947,0.9071949675573485,0.16177675767155,0.49844519970961587,0.9581450186677147,0.5014737669483199,0.24288141728475632
1.0,WF1,M_full_minus_contact,20763,25444,0.7443551842330762,0.7598009859572756,0.9068404569301592,0.1598403203924101,0.4910290872088777,0.9597170367459226,0.5054038121438397,0.23895137208923656
1.0,WF1,M_full_minus_liquidity,20763,25444,0.7443551842330762,0.6303287545262195,0.8375567159028477,0.17977947886718212,0.5408903298966334,0.875221065042248,0.656121045392022,0.08823413884105424
1.0,WF1,M_full_minus_trend,20763,25444,0.7443551842330762,0.7603717164865994,0.9078765501818611,0.1611480465864904,0.49662503851707274,0.9603065435252506,0.4953821968952643,0.24897298733781192
1.0,WF1,M_full_minus_ob,20763,25444,0.7443551842330762,0.7594097049997284,0.9075985939181133,0.16141128914293376,0.4972966599564374,0.9593240322263706,0.499705246610336,0.24464993762274023
1.0,WF2,M0,46207,23468,0.7443551842330762,0.5994294727762551,0.8066156386604711,0.18796943140592662,0.5626947551154301,0.831913080528334,0.6291009799744355,0.11525420425864075
1.0,WF2,M_contact,46207,23468,0.7443551842330762,0.628855661589968,0.8259947654697071,0.18610442573435337,0.5576222587623461,0.8677034512143161,0.6386876864081806,0.1056674978248956
1.0,WF2,M_liquidity,46207,23468,0.7443551842330762,0.7718046333042531,0.9020010574421962,0.16275040107803831,0.4927628973720889,0.9684703877290157,0.4608010225820196,0.2835541616510566
1.0,WF2,M_trend,46207,23468,0.7443551842330762,0.5965775694936868,0.8031594974856409,0.1880511903937847,0.562848489571995,0.8197699190455902,0.6312313591819344,0.11312382505114182
1.0,WF2,M_ob,46207,23468,0.7443551842330762,0.5893983638814182,0.7977437030901453,0.1893626763596349,0.5664993279079038,0.8146570089475926,0.6384746484874307,0.10588053574564549
1.0,WF2,M_full,46207,23468,0.7443551842330762,0.767860423454621,0.9006267469556026,0.16465392861332592,0.4982261258582567,0.9625053259480187,0.4642096293140179,0.28014555491905835
1.0,WF2,M_full_minus_contact,46207,23468,0.7443551842330762,0.7692126965101342,0.9011198175439099,0.16466753036517223,0.497737555461992,0.9657008947592671,0.46527481891776734,0.2790803653153089
1.0,WF2,M_full_minus_liquidity,46207,23468,0.7443551842330762,0.6203932313158782,0.8206475494907585,0.1878592842547441,0.5632133538602052,0.8564124414145718,0.6423093310609288,0.10204585317214743
1.0,WF2,M_full_minus_trend,46207,23468,0.7443551842330762,0.7689205518522744,0.9010442729553291,0.16388282137986734,0.49630988214029376,0.9648487430762676,0.46697912228376653,0.2773760619493097
