signal_gid,selected_edge_index,selected_edge_train_count,selected_edge_unseen,selected_edge_gt_train_p95,selected_edge_gt_train_p99,selected_edge_gt_train_max,selected_graph_ev,selected_p_reach,selected_rr_ref
789,0,21135,False,False,False,False,-0.8170864268360325,9.778904448076475e-06,16.935483870965754
790,0,21135,False,False,False,False,-0.12195431690159364,0.2627765996192216,2.0481927710842927
791,0,21135,False,False,False,False,-0.023067634299869244,0.3541769161981107,1.57407407407418
792,0,21135,False,False,False,False,-0.8461755895601364,0.005888485771576632,7.972972972973365
793,0,21135,False,False,False,False,-0.03671714120895875,0.3947863150810314,1.3636363636364763
794,0,21135,False,False,False,False,-0.04158159483498092,0.5510601654694972,0.6896551724137716
795,0,21135,False,False,False,False,0.03341918650576314,0.49087181771503063,1.0447761194030134
796,0,21135,False,False,False,False,0.053551913005561946,0.5184178095930023,1.0
797,0,21135,False,False,False,False,0.004904604059141504,0.5594926788038366,0.7692307692306616
798,0,21135,False,False,False,False,-0.8192438167223222,1.043727172061162e-05,16.724137931036584
799,1,9229,False,False,False,False,-0.2956621956684916,0.11189479648793334,4.62732919254648
800,0,21135,False,False,False,False,-0.08760444155183067,0.2641554425907297,2.161016949152509
801,0,21135,False,False,False,False,-0.15336131426765476,0.21809900979757654,2.647058823529223
802,0,21135,False,False,False,False,-0.04556055699083872,0.26685915535384785,2.4
803,0,21135,False,False,False,False,-0.07982693011432107,0.6411230549291609,0.41666666666672986
804,0,21135,False,False,False,False,-0.8452062140081601,7.087756804341488e-05,14.210526315789927
805,0,21135,False,False,False,False,-0.10584435398363462,0.5541378204268658,0.568181818181826
806,0,21135,False,False,False,False,-0.009297474300169528,0.47440679293754484,1.0344827586206573
807,0,21135,False,False,False,False,-0.13168838633061963,0.6009066837657058,0.4054054054054253
808,0,21135,False,False,False,False,-0.8683623366844876,0.0008582399965335489,10.645161290321331
809,0,21135,False,False,False,False,-0.8452062140081601,7.087756804341488e-05,14.210526315789927
810,0,21135,False,False,False,False,0.028501320845344236,0.5417009364179635,0.8695652173912355
811,0,21135,False,False,False,False,-0.011566817114442851,0.3430588577866554,1.755319148936238
812,0,21135,False,False,False,False,-0.8452062140081601,7.087756804341488e-05,14.210526315789927
813,0,21135,False,False,False,False,-0.011566817114442851,0.3430588577866554,1.755319148936238
814,0,21135,False,False,False,False,0.060520874938320035,0.4264682697178578,1.40625000000008
815,0,21135,False,False,False,False,-0.0784484545964017,0.2452100707460319,2.5581395348836127
816,0,21135,False,False,False,False,-0.03598100132742427,0.5002183114968662,0.8695652173912355
817,1,9229,False,False,False,False,-0.6391189488189175,0.03870993313736464,6.153846153846368
818,0,21135,False,False,False,False,0.02369030164102537,0.5026827134202605,0.9790209790209665
819,0,21135,False,False,False,False,-0.8421916474920605,2.802278749592221e-05,15.517241379312292
820,0,21135,False,False,False,False,0.10831508447304561,0.5290727156034879,1.0638297872340838
821,0,21135,False,False,False,False,-0.23791888069280584,0.6475786795426763,0.1470588235294275
822,0,21135,False,False,False,False,0.042821800513613284,0.3634304247210978,1.7543859649123368
823,0,21135,False,False,False,False,-0.04044822322374669,0.5874411918418933,0.6097560975609215
824,0,21135,False,False,False,False,-0.35853151811768563,0.12783532136421272,3.5416666666665324
825,0,21135,False,False,False,False,-0.0026980527440694235,0.5211298558392892,0.8571428571428571
826,0,21135,False,False,False,False,0.12043267886544862,0.5149400532240958,1.1428571428571428
827,0,21135,False,False,False,False,0.01821135733741369,0.5086231932275765,0.9459459459459925
828,0,21135,False,False,False,False,-0.8721738216909617,0.0004045906527483436,11.710526315788913
829,0,21135,False,False,False,False,-0.8130650543993814,5.846476752412541e-07,20.769230769227864
830,0,21135,False,False,False,False,-0.060600287486908266,0.4797954088756586,0.8536585365852901
831,0,21135,False,False,False,False,-0.1275524028886571,0.23409949737646094,2.5
832,0,21135,False,False,False,False,-0.11650121754763343,0.240983248905077,2.3310810810810527
833,0,21135,False,False,False,False,-0.06562476778920151,0.5263968538600206,0.7236842105262811
834,0,21135,False,False,False,False,0.05364886715663586,0.39591262849586484,1.5625000000000888
835,1,9229,False,False,False,False,-0.08107895136035159,0.3599322651436569,1.4516129032256364
836,1,9229,False,False,False,False,-0.009508589576373017,0.3744622059951268,1.5476190476191145
837,1,9229,False,False,False,False,-0.07062015444168657,0.3587626882827051,1.4864864864865595
838,0,21135,False,False,False,False,-0.12274155827134065,0.5312268707665199,0.5681818181818651
839,0,21135,False,False,False,False,-0.14910236152703243,0.5477096233572236,0.47619047619049676
840,0,21135,False,False,False,False,-0.5468368393113896,0.06335225871720977,4.347826086956608
841,0,21135,False,False,False,False,-0.7816568111341952,0.008991619207172863,7.121212121211729
842,0,21135,False,False,False,False,-0.8683988610653783,0.0008708375539293839,10.625000000000604
843,0,21135,False,False,False,False,-0.067390343215185,0.2779302718546138,2.179487179487129
845,0,21135,False,False,False,False,0.0032401978318784552,0.4197501950336312,1.3020833333333457
847,0,21135,False,False,False,False,0.05893376090417057,0.39642288809929044,1.5789473684210713
